Name,Role,Archetype,LeadCapacityBand,ProofLinks,IntroPaths,NextAction,Status
Ian Hogarth,"Chair, UK AI Safety Institute; Co-Founder & Partner, Plural Platform",C — Regulatory-Thesis,Signal-only ($5K–$50K),LinkedIn: uk.linkedin.com/in/ianhogarth,Policy networks | State of AI Report orbit,D4: Artifact-first cold note (signal value),PRIORITY_TIER2 / SIGNAL
Luke Kanies,"Angel investor (ex Founder & Executive Chairman, Puppet)",B — DevTools Founder,Lead-likely ($250K–$1M),LinkedIn: linkedin.com/in/lukekanies,Infra-as-code / OSS networks | Puppet alumni,D2: Build 2–3 warm-intro routes,PRIORITY_TIER3 / SCORED_CONDITIONAL
Olivier Pomel,"Co-Founder & CEO, Datadog",B — DevTools Founder,Strategic/Lead-likely (verify),LinkedIn: linkedin.com/in/olivierpomel,Drata angel syndicate | Datadog ecosystem,D2: Build 2–3 warm-intro routes,PRIORITY_TIER3 / SCORED_CONDITIONAL
Dug Song,"Managing Director, Cisco Investments; Co-founder, Duo Security",B/A — DevTools + Operator,Lead-likely ($250K–$1M),LinkedIn: linkedin.com/in/dugsong,Duo Security orbit | Cisco Investments adjacency,D2: Build 2–3 warm-intro routes,PRIORITY_TIER3 / SCORED_CONDITIONAL
Richard Seiersen,"Chief Risk Technology Officer, Qualys",A — Compliance-Scarred Operator,Lead-likely (verify),LinkedIn: linkedin.com/in/richardseiersen,IANS / FAIR Institute networks | Security risk community,D2: Build 2–3 warm-intro routes,PRIORITY_TIER3 / SCORED_CONDITIONAL
Adam Wiggins,"Co-founder & Partner, Muse; Co-founder, Ink & Switch",B — DevTools Founder,Co-lead or Lead-likely (verify),LinkedIn: linkedin.com/in/adamwiggins,Heavybit advisory | Heroku alumni / platform engineering networks,D2: Build 2–3 warm-intro routes,PRIORITY_TIER3 / SCORED_CONDITIONAL
Nathan Benaich,"Founder & General Partner, Air Street Capital",C — Regulatory-Thesis,Fund-level seed (verify personal check),Substack: nathanbenaich.substack.com,State of AI Report orbit | AI regulation investor networks,D4: Artifact-first cold note,PRIORITY_TIER3 / SCORED_CONDITIONAL
Moritz Plassnig,"Chief Product Officer, Immuta (ex Codeship founder)",B — DevTools Founder,Signal-only ($5K–$25K),Website: moritzplassnig.com/angel-investments,Immuta governance ecosystem | Snyk orbit (CloudSkiff),D6: Ask for second-order intros,PRIORITY_TIER3 / SIGNAL
Sounil Yu,"Co-Founder & Chief AI Safety Officer, Knostic",B/C — Hybrid,Co-lead or Lead-likely (verify),LinkedIn: linkedin.com/in/sounil,SVCI | AI safety / access-controls adjacency,D4: Send connector intro ask,PRIORITY_TIER3 / SCORED_CONDITIONAL
Mark Curphey,"Co-Founder & CMO, Crash Override (OWASP founder)",B/A — DevTools + Operator,Connector/Advisory (verify),Search: Mark Curphey Crash Override,OWASP / security founder ecosystem,D6: Ask for second-order intros,PRIORITY_TIER3 / CONNECTOR
